,precision,recall,f1-score,support
0,0.7751332589562415,0.8367456175565369,0.8047619047619048,14946.0
1,0.5777085496711665,0.4791846109675567,0.5238543628374137,6966.0
accuracy,0.7230741146403797,0.7230741146403797,0.7230741146403797,0.7230741146403797
macro avg,0.6764209043137039,0.6579651142620468,0.6643081337996593,21912.0
weighted avg,0.7123703653417913,0.7230741146403797,0.7154591511544748,21912.0
