flight_number,origin,destination,flight_type
AA 6648,,,International
AA 6649,,,International
AA 6649,,,International
AA 6651,,,International
AA 6651,,,International
AA 6653,,,International
AA 6655,,,International
AA 6655,,,International
AA 6656,,,International
AA 6656,,,International
AA 6659,,,International
AA 6659,,,International
AA 6660,,,International
AA 6660,,,International
AA 6661,,,International
AA 6661,,,International
AA 6663,,,International
AA 6663,,,International
AA 6664,,,International
AA 6664,,,International
AA 6665,,,International
AA 6665,,,International
AA 6667,,,International
AA 6667,,,International
AA 6668,,,International
AA 6668,,,International
AA 6669,,,International
AA 6669,,,International
AA 6670,,,International
AA 6670,,,International
AA 6672,,,International
AA 6673,,,International
AA 6673,,,International
AA 6676,,,International
AA 6678,,,International
AA 6678,,,International
AA 6680,,,International
AA 6680,,,International
AA 6681,,,International
AA 6681,,,International
AA 6683,,,International
AA 6683,,,International
AA 6684,,Larnarca Larnaca,International
AA 6685,,,International
AA 6685,,,International
AA 6686,,,International
AA 6686,,,International
AA 6689,,,International
AA 6689,,,International
AA 6690,,,International
AA 6691,,,International
AA 6691,,,International
AA 6692,,,International
AA 6692,,,International
AA 6693,,,International
AA 6693,,,International
AA 6695,,,International
AA 6695,,,International
AA 6696,,,International
AA 6696,,,International
AA 6697,,,International
AA 6697,,,International
AA 6698,,,International
AA 6699,,,International
AA 6699,,,International
AA 6700,,,International
AA 6700,,,International
AA 6702,Larnarca Larnaca,,International
AA 6704,,,International
AA 6704,,,International
AA 6707,,,International
AA 6707,,,International
AA 6708,,,International
AA 6708,,,International
AA 6709,,,International
AA 6709,,,International
AA 6710,,,International
AA 6710,,,International
AA 6711,,,International
AA 6711,,,International
AA 6714,,,International
AA 6714,,,International
AA 6715,,,International
AA 6715,,,International
AA 6717,,,International
AA 6717,,,International
AA 6720,,,International
AA 6720,,,International
AA 6722,,,International
AA 6722,,,International
AA 6724,,,International
AA 6727,,,International
AA 6727,,,International
AA 6728,,,International
AA 6728,,,International
AA 6729,,,International
AA 6729,,,International
AA 6730,,,International
AA 6730,,,International
AA 6735,,,International
AA 6738,,,International
AA 6738,,,International
AA 6739,,,International
AA 6741,,,International
AA 6741,,,International
AA 6742,,,International
AA 6742,,,International
AA 6743,,,International
AA 6743,,,International
AA 6744,,,International
AA 6744,,,International
AA 6745,,,International
AA 6745,,,International
AA 6747,,,International
AA 6747,,,International
AA 6748,,,International
AA 6748,,,International
AA 6749,,,International
AA 6749,,,International
AA 6751,,,International
AA 6751,,,International
AA 6753,,,International
AA 6753,,,International
AA 6755,,,International
AA 6755,,,International
AA 6756,,,International
AA 6756,,,International
AA 6758,,,International
AA 6758,,,International
AA 6759,,,International
AA 6759,,,International
AA 6763,,,International
AA 6763,,,International
AA 6764,,,International
AA 6764,,,International
AA 6765,,,International
AA 6765,,,International
AA 6766,,,International
AA 6766,,,International
AA 6767,,,International
AA 6767,,,International
AA 6768,,,International
AA 6774,,,International
AA 6774,,,International
AA 6775,,,International
AA 6775,,,International
AA 6777,,,International
AA 6777,,,International
AA 6779,,,International
AA 6779,,,International
AA 6780,,,International
AA 6782,,,International
AA 6782,,,International
AA 6783,,,International
AA 6783,,,International
AA 6785,,,International
AA 6786,,,International
AA 6786,,,International
AA 6787,,,International
AA 6787,,,International
AA 6789,,,International
AA 6789,,,International
AA 6791,Cape Town,,International
AA 6791,Cape Town,,International
AA 6795,,,International
AA 6795,,,International
AA 6797,,,International
AA 6797,,,International
AA 6798,,,International
AA 6798,,,International
AA 6799,,,International
AA 6799,,,International
AA 6801,,,International
AA 6801,,,International
AA 6802,,,International
AA 6803,,,International
AA 6804,,,International
AA 6805,,,International
AA 6806,,,International
AA 6806,,,International
AA 6807,,,International
AA 6807,,,International
AA 6808,,,International
AA 6808,,,International
AA 6809,,,International
AA 6809,,,International
AA 6810,,,International
AA 6810,,,International
AA 6812,,,International
AA 6812,,,International
AA 6814,,,International
AA 6814,,,International
AA 6815,,,International
AA 6815,,,International
AA 6816,,,International
