flight_number,aircraft,origin_iata,actual_arrival
AI 2015,Boeing 787-9,,2026-06-27 18:11Z
SV 4622,Airbus A321-200 (Sharklets),,2026-06-27 17:50Z
AI 2255,Airbus A321-200 (Sharklets),,2026-06-27 17:50Z
AI 2017,Boeing 787-9,,2026-06-27 17:05Z
6E 3,Boeing 787-9,,2026-06-27 16:05Z
